"probe_id"	"symbol"
"4890"	"10350090"	"Ube2t"
"4898"	"10350099"	"Gm10535"
"4900"	"10350102"	"Ptpn7"
"4910"	"10350113"	"Arl8a"
"4919"	"10350123"	"Lmod1"
"4923"	"10350128"	"Gm4793"
"4930"	"10350136"	"Csrp1"
"4939"	"10350146"	"Phlda3"
"4941"	"10350149"	"Tnni1"
"4950"	"10350159"	"Lad1"
"4963"	"10350173"	"Tnnt2"
"4977"	"10350188"	"Tmem9"
"4985"	"10350197"	"Ascl5"
"4986"	"10350199"	"Cacna1s"
"5033"	"10350247"	"Kif21b"
"5071"	"10350286"	"Ddx59"
"5081"	"10350297"	"Kif14"
"5112"	"10350329"	"Kif14"
"5113"	"10350331"	"Zfp281"
"5116"	"10350335"	"Gm29718"
"5117"	"10350337"	"---"
"5118"	"10350339"	"Mir181a-1"
"5119"	"10350341"	"---"
"5120"	"10350343"	"Atp6v1g3"
"5125"	"10350349"	"Dennd1b"
"5152"	"10350377"	"Zbtb41"
"5166"	"10350392"	"Aspm"
"5198"	"10350425"	"F13b"
"5210"	"10350438"	"Kcnt2"
"5240"	"10350473"	"B3galt2"
"5244"	"10350478"	"Glrx2"
"5254"	"10350489"	"Uchl5"
"5266"	"10350502"	"Gm5262"
"5267"	"10350504"	"Gm5263"
"5268"	"10350506"	"Brinp3"
"5277"	"10350516"	"Ptgs2"
"5290"	"10350530"	"Pdc"
"5294"	"10350535"	"Tpr"
"5348"	"10350590"	"Ska2l-ps"
"5349"	"10350592"	"---"
"5350"	"10350594"	"Ivns1abp"
"5369"	"10350614"	"Trmt1l"
"5384"	"10350630"	"Fam129a"
"5399"	"10350646"	"Edem3"
"5420"	"10350668"	"Colgalt2"
"5432"	"10350681"	"Apobec4"
"5434"	"10350684"	"Arpc5"
"5438"	"10350689"	"Ncf2"
"5445"	"10350697"	"Nmnat2"
"5456"	"10350710"	"Shcbp1l"
"5468"	"10350723"	"---"
"5469"	"10350725"	"Rgs8"
"5476"	"10350733"	"Rgs16"
"5484"	"10350742"	"Rnasel"
"5490"	"10350749"	"Teddm1b"
"5491"	"10350751"	"Teddm1a"
"5492"	"10350753"	"---"
"5496"	"10350760"	"Zfp648"
"5500"	"10350766"	"Stx6"
"5510"	"10350777"	"Acbd6"
"5522"	"10350790"	"Tor1aip2"
"5523"	"10350792"	"Tor1aip2"
"5530"	"10350800"	"Tor1aip2"
"5535"	"10350806"	"Nphs2"
