"Gene"	"SN_1"	"SN_2"	"SN_3"	"SN_4"	"ON_1"	"ON_2"	"ON_3"	"ON_4"	"SPF_1"	"SPF_2"	"SPF_3"	"SPF_4"	"SPF_5"
"Mapre3"	103	114	101	105	91	39	44	87	38	36	32	56	63
"Gm19409"	0	7	0	0	17	0	0	0	5	126	11	39	27
"Gm15461"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tmem214"	1120	387	746	616	1034	911	529	579	832	1842	1829	2040	1946
"Gm43808"	26	71	22	14	24	19	25	15	47	67	16	46	16
"Agbl5"	9	5	22	50	22	38	35	131	41	92	151	110	65
"5930420M18Rik"	11	12	11	0	19	7	0	0	66	36	36	66	37
"Ost4"	1009	1150	1121	1481	1234	1044	1017	840	642	1362	689	702	766
"Emilin1"	207	15	106	40	86	34	3	41	1	161	60	71	147
"Khk"	663	436	474	569	975	1128	1452	859	996	2315	1662	1552	1560
"Cgref1"	27	22	24	48	5	3	33	1	30	86	2	31	55
"Abhd1"	2	3	2	3	3	8	13	16	3	9	3	0	0
"Preb"	725	1075	752	827	962	1205	1089	1062	846	1596	1335	1630	2017
"Tcf23"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Slc5a6"	124	172	117	50	56	87	72	105	59	210	150	301	376
"Atraid"	2262	1905	1823	2500	4258	3810	4030	2984	3471	8944	5502	6595	6008
"Cad"	146	58	97	74	42	120	53	103	100	218	285	447	303
"Slc30a3"	0	0	0	2	0	0	1	0	28	0	0	0	0
"Gm9924"	0	0	0	0	0	0	1	0	0	0	0	0	0
"Dnajc5g"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Trim54"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm15469"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ucn"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mpv17"	1201	1103	895	1096	884	742	841	595	492	1224	434	696	798
"Gm29609"	0	0	0	0	9	1	0	0	0	1	4	8	5
"Gtf3c2"	275	254	283	177	323	304	374	336	666	1044	258	398	329
"Eif2b4"	414	465	288	289	785	660	406	590	878	2107	1301	1350	1391
"Snx17"	2432	2095	2038	1994	4540	4989	5459	4412	3296	10625	7799	9303	8848
"Zfp513"	244	243	222	167	344	426	357	422	318	572	983	822	715
"Ppm1g"	1362	1004	959	1336	1407	1912	1374	1151	612	3082	2528	2853	2818
"Gm42798"	5	0	0	5	33	20	0	6	271	85	49	18	3
"Gm9970"	7	8	7	1	11	1	1	4	4	4	1	5	8
"Nrbp1"	2251	1872	1948	2277	1951	2572	1628	2491	1018	2259	2231	3181	2384
"Krtcap3"	0	0	7	0	0	0	5	0	2	0	5	0	5
"Ift172"	229	286	286	229	317	55	174	76	95	283	225	406	449
"Fndc4"	558	371	366	368	22	10	41	0	68	60	58	49	31
"Gckr"	0	0	0	5	1	0	0	0	0	0	0	0	0
"Gm19457"	0	1	0	0	0	0	0	1	0	0	0	0	0
"Gm43659"	0	0	0	0	0	0	0	0	0	0	0	0	0
"4930478M09Rik"	0	0	3	30	6	2	0	0	1	0	0	2	0
"Zfp512"	402	503	409	312	574	535	590	748	298	932	921	1116	1057
"Gm43059"	1	1	0	0	1	0	0	0	2	0	0	0	0
"4930548H24Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0
"4930566F21Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gpn1"	849	726	582	718	823	797	932	821	796	1618	1169	1329	1423
"Supt7l"	183	172	133	93	198	209	72	199	205	823	753	670	729
"Slc4a1ap"	170	303	205	41	466	226	237	237	523	696	488	528	614
"Gm43660"	10	2	23	0	10	0	0	7	59	50	3	2	14
"AI839979"	102	128	198	190	52	35	6	32	0	1	0	0	1
"2900076G11Rik"	0	0	0	0	0	0	1	0	0	0	0	0	2
"Mrpl33"	789	1028	1042	1525	1090	906	748	686	411	738	280	335	358
"Gm43809"	0	0	1	0	0	0	0	0	0	0	0	1	0
"Rbks"	148	171	93	89	149	193	215	121	109	251	137	187	153
"Mir3473e"	1	0	0	0	0	0	0	0	0	0	0	0	0
"Bre"	457	481	287	455	817	765	706	233	691	1419	881	964	847
"Gm43810"	1	6	7	4	4	4	0	0	22	32	1	2	3
"Gm24436"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm43811"	0	10	2	2	0	0	0	4	0	13	0	2	6
"Gm17130"	0	0	1	0	0	0	0	0	0	0	0	0	0
"Gm10463"	0	1	44	17	22	9	7	9	0	0	0	0	0
"Fosl2"	1996	2458	2374	1638	1501	1075	1007	915	114	63	192	106	96
"Gm26335"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm9555"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Plb1"	0	0	0	0	0	0	0	0	0	0	0	23	0
"Gm15615"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm36840"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm7596"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm5864"	5	4	5	3	0	0	0	0	0	0	0	0	0
"Ppp1cb"	2809	2676	3083	2675	3573	2641	2744	2607	1016	3009	2392	2550	2748
"Gm43312"	0	0	1	0	0	0	0	0	7	24	0	1	0
"Gm43313"	11	12	26	0	61	30	37	47	75	268	11	29	79
"Gm15613"	0	0	1	0	0	0	0	0	0	0	2	0	0
"Gm15614"	0	0	0	0	2	0	0	0	2	1	0	0	0
"Gm42964"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm43812"	0	0	0	0	0	0	0	0	0	0	0	0	0
